10.1.1.108.8502	2007	Outlier Detection: A Survey
R1	10.1.1.215.2870	Roam: Rule- and motif-based anomaly detection in massive moving object data sets
R1	10.1.1.20.5474	Improving the performance of radial basis function classifiers in condition monitoring and fault diagnosis applications where `unknown' faults may occur
R1	10.1.1.65.7407	Approximations to magic: Finding unusual medical time series
R1	10.1.1.88.2502	A machine learning approach to anomaly detection
R1	10.1.1.42.9706	A Model of Habituation Applied to Mobile Robots
R1	10.1.1.147.653	Two state-based approaches to program-based anomaly detection
R1	10.1.1.113.3386	Fast distributed outlier detection in mixed-attribute data sets
R1	10.1.1.59.2757	Sequence Modeling with Mixtures of Conditional Maximum Entropy Distributions
R1	10.1.1.56.6494	A Neural Network Autoassociator for Induction Motor Failure Prediction
R1	10.1.1.81.8522	Incremental local outlier detection for data streams
R1	10.1.1.78.128	A vertical distance-based outlier detection method with local pruning
R1	10.1.1.115.4568	Outlier detection based on the distribution of distances between data points
R1	10.1.1.330.8062	Learning States and Rules for Time Series Anomaly Detection
R1	10.1.1.23.4105	The Importance Of Being Emergent
R1	10.1.1.26.8659	Detecting Network Intrusion Using a Markov Modulated Nonhomogeneous Poisson Process
R1	10.1.1.38.5595	Markov Monitoring with Unknown States
R1	10.1.1.115.1433	Neighborhood formation and anomaly detection in bipartite graphs
R1	10.1.1.91.3596	On local spatial outliers
R1	10.1.1.215.6061	Mining for outliers in sequential databases
R1	10.1.1.62.2218	Weighting versus pruning in rule validation for detecting network and host anomalies
R1	10.1.1.21.5355	Fraud Detection In Communications Networks Using Neural And Probabilistic Methods
R1	10.1.1.10.7164	HOT: Hypergraph-based Outlier Test for Categorical Data
R1	10.1.1.33.3339	A Function Approximation Approach to Anomaly Detection in Propulsion System Test Data
R1	10.1.1.121.210	comparative study of rnn for outlier detection in data mining
R1	10.1.1.331.1381	Detecting outlying subspaces for high-dimensional data: the new task
